seed=63013375
num_starting=6
total_skills=210
assignments=
Resist Cold,pal,1,105
Dodge,ama,1,13
Ice Blast,sor,1,45
Critical Strike,ama,1,9
Jab,ama,1,10
Find Potion,bar,1,131
Dragon Talon,ass,0,255
Raise Skeleton,nec,0,70
Psychic Hammer,ass,0,253
Arctic Blast,dru,0,230
Might,pal,0,98
Pole Arm Mastery,bar,0,134
Defiance,pal,0,104
Clay Golem,nec,0,75
Fire Bolt,sor,0,36
Warmth,sor,0,37
Resist Fire,pal,0,100
Werebear,dru,0,228
Teeth,nec,0,67
Axe Mastery,bar,0,128
Howl,bar,0,130
Cold Arrow,ama,0,11
Frost Nova,sor,0,44
Bone Armor,nec,0,68
Holy Bolt,pal,0,101
Tiger Strike,ass,0,254
Telekinesis,sor,0,43
Sacrifice,pal,0,96
Charged Bolt,sor,0,38
Holy Fire,pal,0,102
Shock Web,ass,0,256
Thorns,pal,0,103
Leap,bar,0,132
Oak Sage,dru,0,226
Amplify Damage,nec,0,66
Prayer,pal,0,99
Poison Javelin,ama,0,15
Blade Sentinel,ass,0,257
Molten Boulder,dru,0,229
Sword Mastery,bar,0,127
Magic Arrow,ama,0,6
Power Strike,ama,0,14
Bash,bar,0,126
Static Field,sor,0,42
Ice Bolt,sor,0,39
Firestorm,dru,0,225
Double Swing,bar,0,133
Skeleton Mastery,nec,0,69
Dragon Claw,ass,0,260
Corpse Explosion,nec,0,74
Smite,pal,0,97
Fire Blast,ass,0,251
Weaken,nec,0,72
Fire Arrow,ama,0,7
Dim Vision,nec,0,71
Werewolf,dru,0,223
Inferno,sor,0,41
Poison Creeper,dru,0,222
Claw Mastery,ass,0,252
Lycanthropy,dru,0,224
Multiple Shot,ama,0,12
Inner Sight,ama,0,8
Mace Mastery,bar,0,129
Poison Dagger,nec,0,73
Fists of Fire,ass,0,259
Summon Spirit Wolf,dru,0,227
Burst of Speed,ass,0,258
Throwing Mastery,bar,0,135
Raven,dru,0,221
Frozen Armor,sor,0,40
Lightning Bolt,ama,0,20
Blessed Hammer,pal,0,112
Ice Arrow,ama,0,21
Iron Maiden,nec,0,76
Zeal,pal,0,106
Stun,bar,0,139
Shiver Armor,sor,0,50
Concentration,pal,0,113
Cyclone Armor,dru,0,235
Cloak of Shadows,ass,0,264
Heart of Wolverine,dru,0,236
Cobra Strike,ass,0,265
Enchant,sor,0,52
Spear Mastery,bar,0,136
Carrion Vine,dru,0,231
BloodGolem,nec,0,85
